symbol	name	locus_group
RN7SL812P	RNA, 7SL, cytoplasmic 812, pseudogene	pseudogene
RN7SL813P	RNA, 7SL, cytoplasmic 813, pseudogene	pseudogene
RN7SL814P	RNA, 7SL, cytoplasmic 814, pseudogene	pseudogene
RN7SL815P	RNA, 7SL, cytoplasmic 815, pseudogene	pseudogene
RN7SL816P	RNA, 7SL, cytoplasmic 816, pseudogene	pseudogene
RN7SL817P	RNA, 7SL, cytoplasmic 817, pseudogene	pseudogene
RN7SL818P	RNA, 7SL, cytoplasmic 818, pseudogene	pseudogene
RN7SL819P	RNA, 7SL, cytoplasmic 819, pseudogene	pseudogene
RN7SL820P	RNA, 7SL, cytoplasmic 820, pseudogene	pseudogene
RN7SL821P	RNA, 7SL, cytoplasmic 821, pseudogene	pseudogene
RN7SL822P	RNA, 7SL, cytoplasmic 822, pseudogene	pseudogene
RN7SL823P	RNA, 7SL, cytoplasmic 823, pseudogene	pseudogene
RN7SL824P	RNA, 7SL, cytoplasmic 824, pseudogene	pseudogene
RN7SL825P	RNA, 7SL, cytoplasmic 825, pseudogene	pseudogene
RN7SL826P	RNA, 7SL, cytoplasmic 826, pseudogene	pseudogene
RN7SL827P	RNA, 7SL, cytoplasmic 827, pseudogene	pseudogene
RN7SL828P	RNA, 7SL, cytoplasmic 828, pseudogene	pseudogene
RN7SL829P	RNA, 7SL, cytoplasmic 829, pseudogene	pseudogene
RN7SL830P	RNA, 7SL, cytoplasmic 830, pseudogene	pseudogene
RN7SL831P	RNA, 7SL, cytoplasmic 831, pseudogene	pseudogene
RN7SL832P	RNA, 7SL, cytoplasmic 832, pseudogene	pseudogene
RN7SL833P	RNA, 7SL, cytoplasmic 833, pseudogene	pseudogene
RN7SL834P	RNA, 7SL, cytoplasmic 834, pseudogene	pseudogene
RN7SL835P	RNA, 7SL, cytoplasmic 835, pseudogene	pseudogene
RN7SL836P	RNA, 7SL, cytoplasmic 836, pseudogene	pseudogene
RN7SL837P	RNA, 7SL, cytoplasmic 837, pseudogene	pseudogene
RN7SL838P	RNA, 7SL, cytoplasmic 838, pseudogene	pseudogene
RN7SL839P	RNA, 7SL, cytoplasmic 839, pseudogene	pseudogene
RN7SL840P	RNA, 7SL, cytoplasmic 840, pseudogene	pseudogene
RN7SL841P	RNA, 7SL, cytoplasmic 841, pseudogene	pseudogene
RN7SL842P	RNA, 7SL, cytoplasmic 842, pseudogene	pseudogene
RN7SL843P	RNA, 7SL, cytoplasmic 843, pseudogene	pseudogene
RN7SL844P	RNA, 7SL, cytoplasmic 844, pseudogene	pseudogene
RN7SL845P	RNA, 7SL, cytoplasmic 845, pseudogene	pseudogene
RN7SL846P	RNA, 7SL, cytoplasmic 846, pseudogene	pseudogene
RN7SL847P	RNA, 7SL, cytoplasmic 847, pseudogene	pseudogene
RN7SL849P	RNA, 7SL, cytoplasmic 849, pseudogene	pseudogene
RN7SL850P	RNA, 7SL, cytoplasmic 850, pseudogene	pseudogene
RN7SL851P	RNA, 7SL, cytoplasmic 851, pseudogene	pseudogene
RN7SL852P	RNA, 7SL, cytoplasmic 852, pseudogene	pseudogene
RN7SL853P	RNA, 7SL, cytoplasmic 853, pseudogene	pseudogene
RN7SL854P	RNA, 7SL, cytoplasmic 854, pseudogene	pseudogene
RN7SL855P	RNA, 7SL, cytoplasmic 855, pseudogene	pseudogene
RN7SL856P	RNA, 7SL, cytoplasmic 856, pseudogene	pseudogene
RN7SL857P	RNA, 7SL, cytoplasmic 857, pseudogene	pseudogene
RN7SL858P	RNA, 7SL, cytoplasmic 858, pseudogene	pseudogene
RN7SL859P	RNA, 7SL, cytoplasmic 859, pseudogene	pseudogene
RN7SL860P	RNA, 7SL, cytoplasmic 860, pseudogene	pseudogene
RN7SL861P	RNA, 7SL, cytoplasmic 861, pseudogene	pseudogene
RN7SL862P	RNA, 7SL, cytoplasmic 862, pseudogene	pseudogene
RN7SL863P	RNA, 7SL, cytoplasmic 863, pseudogene	pseudogene
RN7SL864P	RNA, 7SL, cytoplasmic 864, pseudogene	pseudogene
RN7SL865P	RNA, 7SL, cytoplasmic 865, pseudogene	pseudogene
RN7SL866P	RNA, 7SL, cytoplasmic 866, pseudogene	pseudogene
RN7SL867P	RNA, 7SL, cytoplasmic 867, pseudogene	pseudogene
RN7SL868P	RNA, 7SL, cytoplasmic 868, pseudogene	pseudogene
RN7SL869P	RNA, 7SL, cytoplasmic 869, pseudogene	pseudogene
RN7SL870P	RNA, 7SL, cytoplasmic 870, pseudogene	pseudogene
RN7SL871P	RNA, 7SL, cytoplasmic 871, pseudogene	pseudogene
RN7SL872P	RNA, 7SL, cytoplasmic 872, pseudogene	pseudogene
RNA5-8S1	RNA, 5.8S ribosomal 1	non-coding RNA
RNA5-8S2	RNA, 5.8S ribosomal 2	non-coding RNA
RNA5-8S3	RNA, 5.8S ribosomal 3	non-coding RNA
RNA5-8S4	RNA, 5.8S ribosomal 4	non-coding RNA
RNA5-8S5	RNA, 5.8S ribosomal 5	non-coding RNA
RNA5-8SN1	RNA, 5.8S ribosomal N1	non-coding RNA
RNA5-8SN2	RNA, 5.8S ribosomal N2	non-coding RNA
RNA5-8SN3	RNA, 5.8S ribosomal N3	non-coding RNA
RNA5-8SN4	RNA, 5.8S ribosomal N4	non-coding RNA
RNA5-8SN5	RNA, 5.8S ribosomal N5	non-coding RNA
RNA5-8SP2	RNA, 5.8S ribosomal pseudogene 2	pseudogene
RNA5-8SP3	RNA, 5.8S ribosomal pseudogene 3	pseudogene
RNA5-8SP4	RNA, 5.8S ribosomal pseudogene 4	pseudogene
RNA5-8SP5	RNA, 5.8S ribosomal pseudogene 5	pseudogene
RNA5-8SP6	RNA, 5.8S ribosomal pseudogene 6	pseudogene
RNA5-8SP7	RNA, 5.8S ribosomal pseudogene 7	pseudogene
RNA5-8SP8	RNA, 5.8S ribosomal pseudogene 8	pseudogene
RNA5-8SP9	RNA, 5.8S ribosomal pseudogene 9	pseudogene
RNA5-8SP10	RNA, 5.8S ribosomal pseudogene 10	pseudogene
RNA5S1	RNA, 5S ribosomal 1	non-coding RNA
RNA5S2	RNA, 5S ribosomal 2	non-coding RNA
RNA5S3	RNA, 5S ribosomal 3	non-coding RNA
RNA5S4	RNA, 5S ribosomal 4	non-coding RNA
RNA5S5	RNA, 5S ribosomal 5	non-coding RNA
RNA5S6	RNA, 5S ribosomal 6	non-coding RNA
RNA5S7	RNA, 5S ribosomal 7	non-coding RNA
RNA5S8	RNA, 5S ribosomal 8	non-coding RNA
RNA5S9	RNA, 5S ribosomal 9	non-coding RNA
RNA5S10	RNA, 5S ribosomal 10	non-coding RNA
RNA5S11	RNA, 5S ribosomal 11	non-coding RNA
RNA5S12	RNA, 5S ribosomal 12	non-coding RNA
RNA5S13	RNA, 5S ribosomal 13	non-coding RNA
RNA5S14	RNA, 5S ribosomal 14	non-coding RNA
RNA5S15	RNA, 5S ribosomal 15	non-coding RNA
RNA5S16	RNA, 5S ribosomal 16	non-coding RNA
RNA5S17	RNA, 5S ribosomal 17	non-coding RNA
RNA5SP18	RNA, 5S ribosomal pseudogene 18	pseudogene
RNA5SP19	RNA, 5S ribosomal pseudogene 19	pseudogene
RNA5SP20	RNA, 5S ribosomal pseudogene 20	pseudogene
RNA5SP21	RNA, 5S ribosomal pseudogene 21	pseudogene
RNA5SP22	RNA, 5S ribosomal pseudogene 22	pseudogene
RNA5SP23	RNA, 5S ribosomal pseudogene 23	pseudogene
RNA5SP24	RNA, 5S ribosomal pseudogene 24	pseudogene
RNA5SP25	RNA, 5S ribosomal pseudogene 25	pseudogene
RNA5SP26	RNA, 5S ribosomal pseudogene 26	pseudogene
RNA5SP27	RNA, 5S ribosomal pseudogene 27	pseudogene
RNA5SP28	RNA, 5S ribosomal pseudogene 28	pseudogene
RNA5SP29	RNA, 5S ribosomal pseudogene 29	pseudogene
RNA5SP30	RNA, 5S ribosomal pseudogene 30	pseudogene
RNA5SP31	RNA, 5S ribosomal pseudogene 31	pseudogene
RNA5SP32	RNA, 5S ribosomal pseudogene 32	pseudogene
RNA5SP33	RNA, 5S ribosomal pseudogene 33	pseudogene
RNA5SP34	RNA, 5S ribosomal pseudogene 34	pseudogene
RNA5SP35	RNA, 5S ribosomal pseudogene 35	pseudogene
RNA5SP36	RNA, 5S ribosomal pseudogene 36	pseudogene
RNA5SP37	RNA, 5S ribosomal pseudogene 37	pseudogene
RNA5SP38	RNA, 5S ribosomal pseudogene 38	pseudogene
RNA5SP39	RNA, 5S ribosomal pseudogene 39	pseudogene
RNA5SP40	RNA, 5S ribosomal pseudogene 40	pseudogene
RNA5SP41	RNA, 5S ribosomal pseudogene 41	pseudogene
RNA5SP42	RNA, 5S ribosomal pseudogene 42	pseudogene
RNA5SP43	RNA, 5S ribosomal pseudogene 43	pseudogene
RNA5SP44	RNA, 5S ribosomal pseudogene 44	pseudogene
RNA5SP45	RNA, 5S ribosomal pseudogene 45	pseudogene
RNA5SP46	RNA, 5S ribosomal pseudogene 46	pseudogene
RNA5SP47	RNA, 5S ribosomal pseudogene 47	pseudogene
RNA5SP48	RNA, 5S ribosomal pseudogene 48	pseudogene
RNA5SP49	RNA, 5S ribosomal pseudogene 49	pseudogene
RNA5SP50	RNA, 5S ribosomal pseudogene 50	pseudogene
RNA5SP51	RNA, 5S ribosomal pseudogene 51	pseudogene
RNA5SP52	RNA, 5S ribosomal pseudogene 52	pseudogene
RNA5SP53	RNA, 5S ribosomal pseudogene 53	pseudogene
RNA5SP54	RNA, 5S ribosomal pseudogene 54	pseudogene
RNA5SP55	RNA, 5S ribosomal pseudogene 55	pseudogene
RNA5SP56	RNA, 5S ribosomal pseudogene 56	pseudogene
RNA5SP57	RNA, 5S ribosomal pseudogene 57	pseudogene
RNA5SP59	RNA, 5S ribosomal pseudogene 59	pseudogene
RNA5SP60	RNA, 5S ribosomal pseudogene 60	pseudogene
RNA5SP61	RNA, 5S ribosomal pseudogene 61	pseudogene
RNA5SP62	RNA, 5S ribosomal pseudogene 62	pseudogene
RNA5SP63	RNA, 5S ribosomal pseudogene 63	pseudogene
RNA5SP64	RNA, 5S ribosomal pseudogene 64	pseudogene
RNA5SP65	RNA, 5S ribosomal pseudogene 65	pseudogene
RNA5SP66	RNA, 5S ribosomal pseudogene 66	pseudogene
RNA5SP67	RNA, 5S ribosomal pseudogene 67	pseudogene
RNA5SP68	RNA, 5S ribosomal pseudogene 68	pseudogene
RNA5SP69	RNA, 5S ribosomal pseudogene 69	pseudogene
RNA5SP70	RNA, 5S ribosomal pseudogene 70	pseudogene
RNA5SP71	RNA, 5S ribosomal pseudogene 71	pseudogene
RNA5SP72	RNA, 5S ribosomal pseudogene 72	pseudogene
RNA5SP73	RNA, 5S ribosomal pseudogene 73	pseudogene
RNA5SP74	RNA, 5S ribosomal pseudogene 74	pseudogene
RNA5SP75	RNA, 5S ribosomal pseudogene 75	pseudogene
RNA5SP76	RNA, 5S ribosomal pseudogene 76	pseudogene
RNA5SP77	RNA, 5S ribosomal pseudogene 77	pseudogene
RNA5SP78	RNA, 5S ribosomal pseudogene 78	pseudogene
RNA5SP79	RNA, 5S ribosomal pseudogene 79	pseudogene
RNA5SP80	RNA, 5S ribosomal pseudogene 80	pseudogene
RNA5SP81	RNA, 5S ribosomal pseudogene 81	pseudogene
RNA5SP82	RNA, 5S ribosomal pseudogene 82	pseudogene
RNA5SP84	RNA, 5S ribosomal pseudogene 84	pseudogene
RNA5SP85	RNA, 5S ribosomal pseudogene 85	pseudogene
RNA5SP86	RNA, 5S ribosomal pseudogene 86	pseudogene
RNA5SP87	RNA, 5S ribosomal pseudogene 87	pseudogene
RNA5SP88	RNA, 5S ribosomal pseudogene 88	pseudogene
RNA5SP89	RNA, 5S ribosomal pseudogene 89	pseudogene
RNA5SP90	RNA, 5S ribosomal pseudogene 90	pseudogene
RNA5SP91	RNA, 5S ribosomal pseudogene 91	pseudogene
RNA5SP92	RNA, 5S ribosomal pseudogene 92	pseudogene
RNA5SP93	RNA, 5S ribosomal pseudogene 93	pseudogene
RNA5SP94	RNA, 5S ribosomal pseudogene 94	pseudogene
RNA5SP95	RNA, 5S ribosomal pseudogene 95	pseudogene
RNA5SP96	RNA, 5S ribosomal pseudogene 96	pseudogene
RNA5SP97	RNA, 5S ribosomal pseudogene 97	pseudogene
RNA5SP98	RNA, 5S ribosomal pseudogene 98	pseudogene
RNA5SP99	RNA, 5S ribosomal pseudogene 99	pseudogene
RNA5SP100	RNA, 5S ribosomal pseudogene 100	pseudogene
RNA5SP101	RNA, 5S ribosomal pseudogene 101	pseudogene
RNA5SP102	RNA, 5S ribosomal pseudogene 102	pseudogene
RNA5SP103	RNA, 5S ribosomal pseudogene 103	pseudogene
RNA5SP104	RNA, 5S ribosomal pseudogene 104	pseudogene
RNA5SP105	RNA, 5S ribosomal pseudogene 105	pseudogene
RNA5SP106	RNA, 5S ribosomal pseudogene 106	pseudogene
RNA5SP107	RNA, 5S ribosomal pseudogene 107	pseudogene
RNA5SP108	RNA, 5S ribosomal pseudogene 108	pseudogene
RNA5SP109	RNA, 5S ribosomal pseudogene 109	pseudogene
RNA5SP110	RNA, 5S ribosomal pseudogene 110	pseudogene
RNA5SP111	RNA, 5S ribosomal pseudogene 111	pseudogene
RNA5SP112	RNA, 5S ribosomal pseudogene 112	pseudogene
RNA5SP113	RNA, 5S ribosomal pseudogene 113	pseudogene
RNA5SP114	RNA, 5S ribosomal pseudogene 114	pseudogene
RNA5SP115	RNA, 5S ribosomal pseudogene 115	pseudogene
RNA5SP116	RNA, 5S ribosomal pseudogene 116	pseudogene
RNA5SP117	RNA, 5S ribosomal pseudogene 117	pseudogene
RNA5SP118	RNA, 5S ribosomal pseudogene 118	pseudogene
RNA5SP119	RNA, 5S ribosomal pseudogene 119	pseudogene
RNA5SP120	RNA, 5S ribosomal pseudogene 120	pseudogene
RNA5SP121	RNA, 5S ribosomal pseudogene 121	pseudogene
RNA5SP122	RNA, 5S ribosomal pseudogene 122	pseudogene
RNA5SP123	RNA, 5S ribosomal pseudogene 123	pseudogene
RNA5SP124	RNA, 5S ribosomal pseudogene 124	pseudogene
RNA5SP125	RNA, 5S ribosomal pseudogene 125	pseudogene
RNA5SP126	RNA, 5S ribosomal pseudogene 126	pseudogene
RNA5SP127	RNA, 5S ribosomal pseudogene 127	pseudogene
RNA5SP128	RNA, 5S ribosomal pseudogene 128	pseudogene
RNA5SP129	RNA, 5S ribosomal pseudogene 129	pseudogene
RNA5SP130	RNA, 5S ribosomal pseudogene 130	pseudogene
RNA5SP131	RNA, 5S ribosomal pseudogene 131	pseudogene
RNA5SP132	RNA, 5S ribosomal pseudogene 132	pseudogene
RNA5SP133	RNA, 5S ribosomal pseudogene 133	pseudogene
RNA5SP134	RNA, 5S ribosomal pseudogene 134	pseudogene
RNA5SP135	RNA, 5S ribosomal pseudogene 135	pseudogene
RNA5SP136	RNA, 5S ribosomal pseudogene 136	pseudogene
RNA5SP137	RNA, 5S ribosomal pseudogene 137	pseudogene
RNA5SP138	RNA, 5S ribosomal pseudogene 138	pseudogene
RNA5SP139	RNA, 5S ribosomal pseudogene 139	pseudogene
RNA5SP140	RNA, 5S ribosomal pseudogene 140	pseudogene
RNA5SP141	RNA, 5S ribosomal pseudogene 141	pseudogene
RNA5SP142	RNA, 5S ribosomal pseudogene 142	pseudogene
RNA5SP143	RNA, 5S ribosomal pseudogene 143	pseudogene
RNA5SP144	RNA, 5S ribosomal pseudogene 144	pseudogene
RNA5SP145	RNA, 5S ribosomal pseudogene 145	pseudogene
RNA5SP146	RNA, 5S ribosomal pseudogene 146	pseudogene
RNA5SP147	RNA, 5S ribosomal pseudogene 147	pseudogene
RNA5SP148	RNA, 5S ribosomal pseudogene 148	pseudogene
RNA5SP149	RNA, 5S ribosomal pseudogene 149	pseudogene
RNA5SP150	RNA, 5S ribosomal pseudogene 150	pseudogene
RNA5SP151	RNA, 5S ribosomal pseudogene 151	pseudogene
RNA5SP152	RNA, 5S ribosomal pseudogene 152	pseudogene
RNA5SP153	RNA, 5S ribosomal pseudogene 153	pseudogene
RNA5SP154	RNA, 5S ribosomal pseudogene 154	pseudogene
RNA5SP155	RNA, 5S ribosomal pseudogene 155	pseudogene
RNA5SP156	RNA, 5S ribosomal pseudogene 156	pseudogene
RNA5SP157	RNA, 5S ribosomal pseudogene 157	pseudogene
RNA5SP158	RNA, 5S ribosomal pseudogene 158	pseudogene
RNA5SP159	RNA, 5S ribosomal pseudogene 159	pseudogene
RNA5SP160	RNA, 5S ribosomal pseudogene 160	pseudogene
RNA5SP161	RNA, 5S ribosomal pseudogene 161	pseudogene
RNA5SP162	RNA, 5S ribosomal pseudogene 162	pseudogene
RNA5SP163	RNA, 5S ribosomal pseudogene 163	pseudogene
RNA5SP164	RNA, 5S ribosomal pseudogene 164	pseudogene
RNA5SP165	RNA, 5S ribosomal pseudogene 165	pseudogene
RNA5SP166	RNA, 5S ribosomal pseudogene 166	pseudogene
RNA5SP167	RNA, 5S ribosomal pseudogene 167	pseudogene
RNA5SP168	RNA, 5S ribosomal pseudogene 168	pseudogene
RNA5SP169	RNA, 5S ribosomal pseudogene 169	pseudogene
RNA5SP170	RNA, 5S ribosomal pseudogene 170	pseudogene
RNA5SP171	RNA, 5S ribosomal pseudogene 171	pseudogene
RNA5SP172	RNA, 5S ribosomal pseudogene 172	pseudogene
RNA5SP173	RNA, 5S ribosomal pseudogene 173	pseudogene
RNA5SP174	RNA, 5S ribosomal pseudogene 174	pseudogene
RNA5SP175	RNA, 5S ribosomal pseudogene 175	pseudogene
RNA5SP176	RNA, 5S ribosomal pseudogene 176	pseudogene
RNA5SP177	RNA, 5S ribosomal pseudogene 177	pseudogene
RNA5SP178	RNA, 5S ribosomal pseudogene 178	pseudogene
RNA5SP179	RNA, 5S ribosomal pseudogene 179	pseudogene
RNA5SP180	RNA, 5S ribosomal pseudogene 180	pseudogene
RNA5SP181	RNA, 5S ribosomal pseudogene 181	pseudogene
RNA5SP182	RNA, 5S ribosomal pseudogene 182	pseudogene
RNA5SP183	RNA, 5S ribosomal pseudogene 183	pseudogene
RNA5SP184	RNA, 5S ribosomal pseudogene 184	pseudogene
RNA5SP185	RNA, 5S ribosomal pseudogene 185	pseudogene
RNA5SP186	RNA, 5S ribosomal pseudogene 186	pseudogene
RNA5SP187	RNA, 5S ribosomal pseudogene 187	pseudogene
RNA5SP188	RNA, 5S ribosomal pseudogene 188	pseudogene
RNA5SP189	RNA, 5S ribosomal pseudogene 189	pseudogene
RNA5SP190	RNA, 5S ribosomal pseudogene 190	pseudogene
RNA5SP191	RNA, 5S ribosomal pseudogene 191	pseudogene
RNA5SP192	RNA, 5S ribosomal pseudogene 192	pseudogene
RNA5SP193	RNA, 5S ribosomal pseudogene 193	pseudogene
RNA5SP194	RNA, 5S ribosomal pseudogene 194	pseudogene
RNA5SP195	RNA, 5S ribosomal pseudogene 195	pseudogene
RNA5SP196	RNA, 5S ribosomal pseudogene 196	pseudogene
RNA5SP197	RNA, 5S ribosomal pseudogene 197	pseudogene
RNA5SP198	RNA, 5S ribosomal pseudogene 198	pseudogene
RNA5SP199	RNA, 5S ribosomal pseudogene 199	pseudogene
RNA5SP200	RNA, 5S ribosomal pseudogene 200	pseudogene
RNA5SP201	RNA, 5S ribosomal pseudogene 201	pseudogene
RNA5SP202	RNA, 5S ribosomal pseudogene 202	pseudogene
RNA5SP203	RNA, 5S ribosomal pseudogene 203	pseudogene
RNA5SP204	RNA, 5S ribosomal pseudogene 204	pseudogene
RNA5SP205	RNA, 5S ribosomal pseudogene 205	pseudogene
RNA5SP206	RNA, 5S ribosomal pseudogene 206	pseudogene
RNA5SP207	RNA, 5S ribosomal pseudogene 207	pseudogene
RNA5SP208	RNA, 5S ribosomal pseudogene 208	pseudogene
RNA5SP209	RNA, 5S ribosomal pseudogene 209	pseudogene
RNA5SP210	RNA, 5S ribosomal pseudogene 210	pseudogene
RNA5SP211	RNA, 5S ribosomal pseudogene 211	pseudogene
RNA5SP212	RNA, 5S ribosomal pseudogene 212	pseudogene
RNA5SP213	RNA, 5S ribosomal pseudogene 213	pseudogene
RNA5SP214	RNA, 5S ribosomal pseudogene 214	pseudogene
RNA5SP215	RNA, 5S ribosomal pseudogene 215	pseudogene
RNA5SP216	RNA, 5S ribosomal pseudogene 216	pseudogene
RNA5SP217	RNA, 5S ribosomal pseudogene 217	pseudogene
RNA5SP218	RNA, 5S ribosomal pseudogene 218	pseudogene
RNA5SP219	RNA, 5S ribosomal pseudogene 219	pseudogene
RNA5SP220	RNA, 5S ribosomal pseudogene 220	pseudogene
RNA5SP221	RNA, 5S ribosomal pseudogene 221	pseudogene
RNA5SP222	RNA, 5S ribosomal pseudogene 222	pseudogene
RNA5SP223	RNA, 5S ribosomal pseudogene 223	pseudogene
RNA5SP224	RNA, 5S ribosomal pseudogene 224	pseudogene
RNA5SP225	RNA, 5S ribosomal pseudogene 225	pseudogene
RNA5SP226	RNA, 5S ribosomal pseudogene 226	pseudogene
RNA5SP227	RNA, 5S ribosomal pseudogene 227	pseudogene
RNA5SP228	RNA, 5S ribosomal pseudogene 228	pseudogene
RNA5SP229	RNA, 5S ribosomal pseudogene 229	pseudogene
RNA5SP230	RNA, 5S ribosomal pseudogene 230	pseudogene
RNA5SP231	RNA, 5S ribosomal pseudogene 231	pseudogene
RNA5SP232	RNA, 5S ribosomal pseudogene 232	pseudogene
RNA5SP233	RNA, 5S ribosomal pseudogene 233	pseudogene
RNA5SP234	RNA, 5S ribosomal pseudogene 234	pseudogene
RNA5SP235	RNA, 5S ribosomal pseudogene 235	pseudogene
RNA5SP236	RNA, 5S ribosomal pseudogene 236	pseudogene
RNA5SP237	RNA, 5S ribosomal pseudogene 237	pseudogene
RNA5SP238	RNA, 5S ribosomal pseudogene 238	pseudogene
RNA5SP239	RNA, 5S ribosomal pseudogene 239	pseudogene
RNA5SP240	RNA, 5S ribosomal pseudogene 240	pseudogene
RNA5SP241	RNA, 5S ribosomal pseudogene 241	pseudogene
RNA5SP242	RNA, 5S ribosomal pseudogene 242	pseudogene
RNA5SP243	RNA, 5S ribosomal pseudogene 243	pseudogene
RNA5SP244	RNA, 5S ribosomal pseudogene 244	pseudogene
RNA5SP245	RNA, 5S ribosomal pseudogene 245	pseudogene
RNA5SP246	RNA, 5S ribosomal pseudogene 246	pseudogene
RNA5SP247	RNA, 5S ribosomal pseudogene 247	pseudogene
RNA5SP248	RNA, 5S ribosomal pseudogene 248	pseudogene
RNA5SP249	RNA, 5S ribosomal pseudogene 249	pseudogene
RNA5SP250	RNA, 5S ribosomal pseudogene 250	pseudogene
RNA5SP251	RNA, 5S ribosomal pseudogene 251	pseudogene
RNA5SP252	RNA, 5S ribosomal pseudogene 252	pseudogene
RNA5SP253	RNA, 5S ribosomal pseudogene 253	pseudogene
RNA5SP254	RNA, 5S ribosomal pseudogene 254	pseudogene
RNA5SP255	RNA, 5S ribosomal pseudogene 255	pseudogene
RNA5SP256	RNA, 5S ribosomal pseudogene 256	pseudogene
RNA5SP257	RNA, 5S ribosomal pseudogene 257	pseudogene
RNA5SP258	RNA, 5S ribosomal pseudogene 258	pseudogene
RNA5SP259	RNA, 5S ribosomal pseudogene 259	pseudogene
RNA5SP260	RNA, 5S ribosomal pseudogene 260	pseudogene
RNA5SP261	RNA, 5S ribosomal pseudogene 261	pseudogene
RNA5SP262	RNA, 5S ribosomal pseudogene 262	pseudogene
RNA5SP263	RNA, 5S ribosomal pseudogene 263	pseudogene
RNA5SP264	RNA, 5S ribosomal pseudogene 264	pseudogene
RNA5SP265	RNA, 5S ribosomal pseudogene 265	pseudogene
RNA5SP266	RNA, 5S ribosomal pseudogene 266	pseudogene
RNA5SP267	RNA, 5S ribosomal pseudogene 267	pseudogene
RNA5SP268	RNA, 5S ribosomal pseudogene 268	pseudogene
RNA5SP269	RNA, 5S ribosomal pseudogene 269	pseudogene
RNA5SP270	RNA, 5S ribosomal pseudogene 270	pseudogene
RNA5SP271	RNA, 5S ribosomal pseudogene 271	pseudogene
RNA5SP272	RNA, 5S ribosomal pseudogene 272	pseudogene
RNA5SP273	RNA, 5S ribosomal pseudogene 273	pseudogene
RNA5SP274	RNA, 5S ribosomal pseudogene 274	pseudogene
RNA5SP275	RNA, 5S ribosomal pseudogene 275	pseudogene
RNA5SP276	RNA, 5S ribosomal pseudogene 276	pseudogene
RNA5SP277	RNA, 5S ribosomal pseudogene 277	pseudogene
RNA5SP278	RNA, 5S ribosomal pseudogene 278	pseudogene
RNA5SP279	RNA, 5S ribosomal pseudogene 279	pseudogene
RNA5SP280	RNA, 5S ribosomal pseudogene 280	pseudogene
RNA5SP281	RNA, 5S ribosomal pseudogene 281	pseudogene
RNA5SP282	RNA, 5S ribosomal pseudogene 282	pseudogene
RNA5SP283	RNA, 5S ribosomal pseudogene 283	pseudogene
RNA5SP284	RNA, 5S ribosomal pseudogene 284	pseudogene
RNA5SP285	RNA, 5S ribosomal pseudogene 285	pseudogene
RNA5SP286	RNA, 5S ribosomal pseudogene 286	pseudogene
RNA5SP287	RNA, 5S ribosomal pseudogene 287	pseudogene
RNA5SP288	RNA, 5S ribosomal pseudogene 288	pseudogene
RNA5SP289	RNA, 5S ribosomal pseudogene 289	pseudogene
RNA5SP290	RNA, 5S ribosomal pseudogene 290	pseudogene
RNA5SP291	RNA, 5S ribosomal pseudogene 291	pseudogene
RNA5SP292	RNA, 5S ribosomal pseudogene 292	pseudogene
RNA5SP293	RNA, 5S ribosomal pseudogene 293	pseudogene
RNA5SP294	RNA, 5S ribosomal pseudogene 294	pseudogene
RNA5SP295	RNA, 5S ribosomal pseudogene 295	pseudogene
RNA5SP296	RNA, 5S ribosomal pseudogene 296	pseudogene
RNA5SP297	RNA, 5S ribosomal pseudogene 297	pseudogene
RNA5SP298	RNA, 5S ribosomal pseudogene 298	pseudogene
RNA5SP299	RNA, 5S ribosomal pseudogene 299	pseudogene
RNA5SP300	RNA, 5S ribosomal pseudogene 300	pseudogene
RNA5SP301	RNA, 5S ribosomal pseudogene 301	pseudogene
RNA5SP302	RNA, 5S ribosomal pseudogene 302	pseudogene
RNA5SP303	RNA, 5S ribosomal pseudogene 303	pseudogene
RNA5SP304	RNA, 5S ribosomal pseudogene 304	pseudogene
RNA5SP305	RNA, 5S ribosomal pseudogene 305	pseudogene
RNA5SP306	RNA, 5S ribosomal pseudogene 306	pseudogene
RNA5SP307	RNA, 5S ribosomal pseudogene 307	pseudogene
RNA5SP308	RNA, 5S ribosomal pseudogene 308	pseudogene
RNA5SP309	RNA, 5S ribosomal pseudogene 309	pseudogene
RNA5SP310	RNA, 5S ribosomal pseudogene 310	pseudogene
RNA5SP311	RNA, 5S ribosomal pseudogene 311	pseudogene
RNA5SP312	RNA, 5S ribosomal pseudogene 312	pseudogene
RNA5SP315	RNA, 5S ribosomal pseudogene 315	pseudogene
RNA5SP317	RNA, 5S ribosomal pseudogene 317	pseudogene
RNA5SP318	RNA, 5S ribosomal pseudogene 318	pseudogene
RNA5SP319	RNA, 5S ribosomal pseudogene 319	pseudogene
RNA5SP320	RNA, 5S ribosomal pseudogene 320	pseudogene
RNA5SP321	RNA, 5S ribosomal pseudogene 321	pseudogene
RNA5SP322	RNA, 5S ribosomal pseudogene 322	pseudogene
RNA5SP323	RNA, 5S ribosomal pseudogene 323	pseudogene
RNA5SP324	RNA, 5S ribosomal pseudogene 324	pseudogene
RNA5SP325	RNA, 5S ribosomal pseudogene 325	pseudogene
RNA5SP326	RNA, 5S ribosomal pseudogene 326	pseudogene
RNA5SP327	RNA, 5S ribosomal pseudogene 327	pseudogene
RNA5SP328	RNA, 5S ribosomal pseudogene 328	pseudogene
RNA5SP329	RNA, 5S ribosomal pseudogene 329	pseudogene
